SCATS_Number,Time,Average_Traffic_Volume
3001,10:45,176.14
3001,11:00,178.67
3001,11:15,180.38
3001,11:30,209.81
3001,11:45,196.58
3001,12:00,205.01
3001,12:15,194.74
3001,12:30,208.58
3001,12:45,191.19
3001,13:00,210.51
3001,13:15,181.01
3001,13:30,205.11
3001,13:45,195.32
3001,14:00,207.19
3001,14:15,189.68
3001,14:30,200.69
3001,14:45,190.20
3001,15:00,204.38
3001,15:15,200.62
3001,15:30,220.83
3001,15:45,218.94
3001,16:00,236.16
3001,16:15,218.82
3001,16:30,226.20
3001,16:45,206.14
3001,17:00,234.99
3001,17:15,240.91
3001,17:30,252.38
3001,17:45,222.85
3001,18:00,239.06
3001,18:15,233.85
3001,18:30,216.75
3001,18:45,184.09
3001,19:00,179.27
3001,19:15,170.77
3001,19:30,169.78
3001,19:45,139.47
3001,20:00,137.99
3001,20:15,124.19
3001,20:30,128.86
3001,20:45,109.73
3001,21:00,114.76
3001,21:15,110.80
3001,21:30,106.08
3001,21:45,94.83
3001,22:00,117.81
3001,22:15,92.59
3001,22:30,95.32
3001,22:45,77.73
3001,23:00,101.83
3001,23:15,61.98
3001,23:30,72.09
3001,23:45,56.01
3002,00:00,40.17
3002,00:15,33.84
3002,00:30,28.88
3002,00:45,25.91
3002,01:00,21.32
3002,01:15,19.35
3002,01:30,17.57
3002,01:45,13.81
3002,02:00,13.57
3002,02:15,11.70
3002,02:30,11.09
3002,02:45,11.33
3002,03:00,11.97
3002,03:15,11.14
3002,03:30,10.12
3002,03:45,10.29
3002,04:00,10.04
3002,04:15,10.97
3002,04:30,11.05
3002,04:45,13.74
3002,05:00,13.51
3002,05:15,20.00
3002,05:30,26.88
3002,05:45,35.96
3002,06:00,42.15
3002,06:15,64.75
3002,06:30,99.72
3002,06:45,120.86
3002,07:00,135.18
3002,07:15,165.37
3002,07:30,183.79
3002,07:45,193.63
3002,08:00,191.69
3002,08:15,194.53
3002,08:30,195.37
3002,08:45,184.84
3002,09:00,180.59
3002,09:15,178.94
3002,09:30,175.41
3002,09:45,172.87
3002,10:00,163.48
3002,10:15,165.69
3002,10:30,165.51
3002,10:45,168.98
3002,11:00,165.09
3002,11:15,170.56
3002,11:30,172.41
3002,11:45,178.06
3002,12:00,181.25
3002,12:15,182.67
3002,12:30,180.38
3002,12:45,180.77
3002,13:00,175.83
3002,13:15,177.38
3002,13:30,180.12
3002,13:45,176.88
3002,14:00,177.50
3002,14:15,179.86
3002,14:30,178.07
3002,14:45,184.30
3002,15:00,196.80
3002,15:15,203.84
3002,15:30,202.15
3002,15:45,197.61
3002,16:00,202.91
3002,16:15,204.72
3002,16:30,213.63
3002,16:45,211.69
3002,17:00,216.59
3002,17:15,220.59
3002,17:30,221.33
3002,17:45,223.52
3002,18:00,223.20
3002,18:15,220.35
3002,18:30,206.63
3002,18:45,187.56
3002,19:00,171.16
3002,19:15,156.55
3002,19:30,136.69
3002,19:45,119.12
3002,20:00,110.52
3002,20:15,102.38
3002,20:30,96.84
3002,20:45,93.79
3002,21:00,91.79
3002,21:15,92.60
3002,21:30,86.83
3002,21:45,85.25
3002,22:00,82.16
3002,22:15,77.85
3002,22:30,70.15
3002,22:45,65.56
3002,23:00,60.49
3002,23:15,52.20
3002,23:30,47.38
3002,23:45,40.02
3120,00:00,57.57
3120,00:15,54.40
3120,00:30,47.24
3120,00:45,45.22
